verb,traduzione, category
adjust,aggiustare,Change State
admire,ammirare,Perception
aim,puntare/mirare,Motion Direction
applaud,applaudire,Communication
apprehend,arrestare,Contrast
arch,inarcare (schiena),Body Action
arrest,arrestare,Contrast
assemble,assemblare,Change State
attack,attaccare,Contrast
autograph,autografare,Social
bake,cucinare in forno,Change State
bandage,bendare,Change State
baptize,battezzare,Social
barbecue,grigliare,Change State
beg,pregare,Communication
bite,mordere,contact
block,bloccare,Contrast
board,salire a bordo,Motion Direction
bother,infastidire,Communication
break,rompere,Change State
brew,preparare,Change State
browse,cercare sul web,Mental Cognition
brush,spazzolare,Contact
bulldoze,abbattere/demolire,Change State
burn,bruciare,Change State
butt,dare una testata,Contact
call,chiamare,Communication
calm,calmare,Communication
carry,trasportare,Change Location
carve,intagliare,Change State
chase,inseguire,Contrast
check,controllare,Mental Cognition
chew,masticare,Body Action
chisel,incidere,Change State
circle,accerchiare,Motion Direction
clean,pulire,Change State
climb,scalare,Motion Direction
coach,allenare,Social
confront,affrontare?,Contrast
contain,contenere,State Of Being
cook,cucinare,Change State
count,contare,Mental Cognition
cover,coprire,Change State
cross,attraversare,Motion Direction
cut,tagliare,Change State
decorate,decorare,Change State
deflect,deviare,Contact
destroy,distruggere,Change State
detain,trattenere (polizia),Contrast
dial,chiamare,Communication
discipline,disciplinare,Contrast
display,mostrare,Communication
distract,distrarre,Mental Cognition
drag,trascinare,Change Location
drink,bere,Body Action
drive,guidare,Motion Manner
eat,mangiare,Body Action
educate,educare,Social
embrace,abbracciare,Contact
enclose,racchiudere,State Of Being
encourage,incoraggiare,Communication
erupt,eruttare (vulcano),Change State
exercise,esercitare,Body Action
exit,uscire,Motion Direction
face,essere rivolto verso,State Of Being
feed,nutrire,Body Action
flap,sbattere (ali),Body Action
flex,contrarre,Body Action
flip,capovolgere/lanciare,Motion Direction
fly,volare,Motion Manner
fold,piegare,Contact
ford,guadare,Motion Direction
frisk,perquisire,Contrast
garden,coltivare,Change State
gnaw,masticare,Body Action
grill,grigliare,Change State
guard,fare la guardia,Contrast 
guide,guidare,Motion Manner
handcuff,mettere le manette,Contrast
haul,trasportare,Change Location
heave,sollevare/tirare,Motion Direction
help,aiutare,Social
hoe,zappare,Change State
hold,tenere,Contact
hug,abbracciare,Contact
hunt,cacciare,Contrast
hurl,lanciare/gettare,Change Location
ignite,accendere,Change State
ignore,ignorare,Communication
imitate,imitare,Communication
inflate,gonfiare,Change State
insert,inserire,Change State
instruct,istruire,Social
interrogate,interrogare,Contrast
interview,intervistare,Social
juggle,far roteare (giocoleria),Motion Direction
kick,calciare,Contact
knead,impastare,Change State
launch,lanciare (razzo),Motion Direction
lead,guidare,Social
leave,andarsene,Motion Direction
lecture,tenere una lezione,Social
lick,leccare,Contact
lift,sollevare,Change Location
make,creare/fare,Change State
massage,massaggiare,Body Action
mend,riparare,Change State
milk,mungere,Contact
mime,mimare,Communication
moisten,inumidire,Change State
mold,modellare (argilla),Change State
move,muovere,Change Location
nag,tormentare/assillare,Communication
nip,mordicchiare,Contact
nuzzle,strusciare il naso,Contact
offer,offrire,Exchange
open,aprire,Motion Direction
package,impacchettare,Change State
paint,dipingere,Communication
pay,pagare,Exchange
pedal,pedalare,Motion Manner
pet,accarezzare (animale),Contact
phone,telefonare,Communication
play,giocare/suonare,Social
plow,arare,Change State
pour,versare,Change State
preach,predicare,Social
press,premere,Contact
pucker,corrugare,Body Action
pull,tirare,Change Location
punch,dare un pugno,Contact
punt,calciare (nel football),Contact
push,spingere,Change Location
ram,colpire con forza,Contact
read,leggere,Communication
reassure,rassicurare,Communication
rehabilitate,riabilitare,Change State
release,rilasciare,Contrast
restrain,trattenere/bloccare,Contact
ride,cavalcare,Motion Manner
salute,fare il saluto (militare),Social
scold,rimproverare,Contrast
sell,vendere,Exchange
serve,servire (cameriere),Social
sew,cucire,Change State
shush,zittire,Communication
skip,saltare/saltellare,Motion Manner
smash,spaccare,Change State
smell,annusare,Perception
sniff,annusare,Perception
sow,seminare,Change State
spank,sculacciare,Contact
spear,trafiggere,Change State
spit,sputare,Body Action
splash,schizzare,Contact
stitch,cucire,Change State
stretch,allungare,Body Action
subdue,soggiogare,Contrast
suck,succhiare,Contact
surround,circondare/essere intorno,State Of Being
swing,far oscillare,Motion Direction
tackle,placcare,Contact
teach,insegnare,Social
throw,lanciare,Change Location
tie,annodare,Change State
till,arare,Change State
touch,toccare,Contact
tow,trainare,Change Location
train,allenare,Social
tug,tirare,Change Location
turn,girare,Motion Direction
twist,attorcigliare,Contact
unveil,rivelare,Change State
use,usare,Body Action
videotape,riprendere,Communication
wag,scodinzolare,Body Action
watch,guardare,Perception
wave,salutare,Communication
wear,indossare,Body Action
whip,frustare,Body Action
wring,torcere,Contact
wrinkle,increspare,Body Action
